,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Shawshank Redemption,1994,86,9.3,80.0,52480,28.34
1,The Godfather,1972,86,9.2,100.0,52480,134.97
2,The Dark Knight,2008,86,9.0,84.0,52480,534.86
3,The Godfather: Part II,1974,86,9.0,90.0,52480,57.3
4,12 Angry Men,1957,86,9.0,96.0,52480,4.36
5,The Lord of the Rings: The Return of the King,2003,86,8.9,94.0,52480,377.85
6,Pulp Fiction,1994,86,8.9,94.0,52480,107.93
7,Schindler's List,1993,86,8.9,94.0,52480,96.9
8,Inception,2010,86,8.8,74.0,52480,292.58
9,Fight Club,1999,86,8.8,66.0,52480,37.03
10,The Lord of the Rings: The Fellowship of the Ring,2001,86,8.8,92.0,52480,315.54
11,Forrest Gump,1994,86,8.8,82.0,52480,330.25
12,"The Good, the Bad and the Ugly",1966,86,8.8,90.0,52480,6.1
13,The Lord of the Rings: The Two Towers,2002,86,8.7,87.0,52480,342.55
14,The Matrix,1999,86,8.7,73.0,52480,171.48
15,Goodfellas,1990,86,8.7,90.0,52480,46.84
16,Star Wars: Episode V - The Empire Strikes Back,1980,86,8.7,82.0,52480,290.48
17,One Flew Over the Cuckoo's Nest,1975,86,8.7,83.0,52480,112.0
18,Parasite,2019,86,8.6,96.0,52480,53.37
19,Soorarai Pottru,2020,86,8.6,None Given,52480,Not calculated
20,Interstellar,2014,86,8.6,74.0,52480,188.02
21,City of God,2002,86,8.6,79.0,52480,7.56
22,Spirited Away,2001,86,8.6,96.0,52480,10.06
23,Saving Private Ryan,1998,86,8.6,91.0,52480,216.54
24,The Green Mile,1999,86,8.6,61.0,52480,136.8
25,Life Is Beautiful,1997,86,8.6,59.0,52480,57.6
26,Se7en,1995,86,8.6,65.0,52480,100.13
27,The Silence of the Lambs,1991,86,8.6,85.0,52480,130.74
28,Star Wars: Episode IV - A New Hope,1977,86,8.6,90.0,52480,322.74
29,Hara-Kiri,1962,86,8.6,85.0,52480,Not calculated
30,Seven Samurai,1954,86,8.6,98.0,52480,0.27
31,It's a Wonderful Life,1946,86,8.6,89.0,52480,Not calculated
32,Hamilton,2020,86,8.5,90.0,52480,Not calculated
33,Raatchasan,2018,86,8.5,None Given,52480,Not calculated
34,Whiplash,2014,86,8.5,88.0,52480,13.09
35,The Intouchables,2011,86,8.5,57.0,52480,13.18
36,The Prestige,2006,86,8.5,66.0,52480,53.09
37,The Departed,2006,86,8.5,85.0,52480,132.38
38,The Pianist,2002,86,8.5,85.0,52480,32.57
39,Gladiator,2000,86,8.5,67.0,52480,187.71
40,American History X,1998,86,8.5,62.0,52480,6.72
41,The Usual Suspects,1995,86,8.5,77.0,52480,23.34
42,Léon: The Professional,1994,86,8.5,64.0,52480,19.5
43,The Lion King,1994,86,8.5,88.0,52480,422.78
44,Terminator 2: Judgment Day,1991,86,8.5,75.0,52480,204.84
45,Cinema Paradiso,1988,86,8.5,80.0,52480,11.99
46,Grave of the Fireflies,1988,86,8.5,94.0,52480,Not calculated
47,Back to the Future,1985,86,8.5,87.0,52480,210.61
48,Once Upon a Time in the West,1968,86,8.5,80.0,52480,5.32
49,Psycho,1960,86,8.5,97.0,52480,32.0
50,Casablanca,1942,86,8.5,100.0,52480,1.02
51,Modern Times,1936,86,8.5,96.0,52480,0.16
52,City Lights,1931,86,8.5,99.0,52480,0.02
53,Capernaum,2018,86,8.4,75.0,52480,1.66
54,Joker,2019,86,8.4,59.0,52480,335.45
55,Ayla: The Daughter of War,2017,86,8.4,None Given,52480,Not calculated
56,Vikram Vedha,2017,86,8.4,None Given,52480,Not calculated
57,Your Name.,2016,86,8.4,79.0,52480,5.02
58,Dangal,2016,86,8.4,None Given,52480,12.39
59,Spider-Man: Into the Spider-Verse,2018,86,8.4,87.0,52480,190.24
60,Avengers: Endgame,2019,86,8.4,78.0,52480,858.37
61,Avengers: Infinity War,2018,86,8.4,68.0,52480,678.82
62,Drishyam,2013,86,8.4,None Given,52480,Not calculated
63,Coco,2017,86,8.4,81.0,52480,209.73
64,Django Unchained,2012,86,8.4,81.0,52480,162.81
65,The Dark Knight Rises,2012,86,8.4,78.0,52480,448.14
66,3 Idiots,2009,86,8.4,67.0,52480,6.53
67,Like Stars on Earth,2007,86,8.4,None Given,52480,1.22
68,WALL·E,2008,86,8.4,95.0,52480,223.81
69,The Lives of Others,2006,86,8.4,89.0,52480,11.29
70,Oldboy,2003,86,8.4,77.0,52480,0.71
71,Memento,2000,86,8.4,80.0,52480,25.54
72,Princess Mononoke,1997,86,8.4,76.0,52480,2.38
73,Once Upon a Time in America,1984,86,8.4,None Given,52480,5.32
74,Indiana Jones and the Raiders of the Lost Ark,1981,86,8.4,85.0,52480,248.16
75,The Shining,1980,86,8.4,66.0,52480,44.02
76,Apocalypse Now,1979,86,8.4,94.0,52480,83.47
77,Alien,1979,86,8.4,89.0,52480,78.9
78,High and Low,1963,86,8.4,None Given,52480,Not calculated
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,86,8.4,97.0,52480,0.28
80,Witness for the Prosecution,1957,86,8.4,None Given,52480,8.18
81,Paths of Glory,1957,86,8.4,90.0,52480,Not calculated
82,Rear Window,1954,86,8.4,100.0,52480,36.76
83,Sunset Blvd.,1950,86,8.4,None Given,52480,Not calculated
84,The Great Dictator,1940,86,8.4,None Given,52480,0.29
85,1917,2019,86,8.3,78.0,52480,159.23
86,Tumbbad,2018,86,8.3,None Given,52480,Not calculated
87,Andhadhun,2018,86,8.3,None Given,52480,1.37
88,The Hunt,2012,86,8.3,77.0,52480,0.69
89,A Separation,2011,86,8.3,95.0,52480,7.1
90,Incendies,2010,86,8.3,80.0,52480,6.86
91,Zack Snyder's Justice League,2021,86,8.3,54.0,52480,Not calculated
92,Dara of Jasenovac,2020,86,8.3,None Given,52480,Not calculated
93,My Father and My Son,2005,86,8.3,None Given,52480,Not calculated
94,Inglourious Basterds,2009,86,8.3,69.0,52480,120.54
95,Eternal Sunshine of the Spotless Mind,2004,86,8.3,89.0,52480,34.4
96,Amélie,2001,86,8.3,69.0,52480,33.23
97,Snatch,2000,86,8.3,55.0,52480,30.33
98,Requiem for a Dream,2000,86,8.3,68.0,52480,3.64
99,American Beauty,1999,86,8.3,84.0,52480,130.1
100,Good Will Hunting,1997,86,8.3,70.0,52480,138.43
101,Children of Heaven,1997,86,8.3,77.0,52480,0.93
102,Toy Story,1995,86,8.3,95.0,52480,191.8
103,Braveheart,1995,86,8.3,68.0,52480,75.6
104,Reservoir Dogs,1992,86,8.3,79.0,52480,2.83
105,Full Metal Jacket,1987,86,8.3,76.0,52480,46.36
106,Come and See,1985,86,8.3,None Given,52480,Not calculated
107,Aliens,1986,86,8.3,84.0,52480,85.16
108,Amadeus,1984,86,8.3,88.0,52480,51.97
109,Scarface,1983,86,8.3,65.0,52480,45.6
110,Star Wars: Episode VI - Return of the Jedi,1983,86,8.3,58.0,52480,309.13
111,Das Boot,1981,86,8.3,86.0,52480,11.49
112,The Sting,1973,86,8.3,83.0,52480,159.6
113,A Clockwork Orange,1971,86,8.3,77.0,52480,6.21
114,Anand,1971,86,8.3,None Given,52480,Not calculated
115,2001: A Space Odyssey,1968,86,8.3,84.0,52480,56.95
116,Lawrence of Arabia,1962,86,8.3,100.0,52480,44.82
117,The Apartment,1960,86,8.3,94.0,52480,18.6
118,North by Northwest,1959,86,8.3,98.0,52480,13.28
119,Vertigo,1958,86,8.3,100.0,52480,3.2
120,Singin' in the Rain,1952,86,8.3,99.0,52480,8.82
121,Ikiru,1952,86,8.3,None Given,52480,0.06
122,Bicycle Thieves,1948,86,8.3,None Given,52480,0.33
123,Double Indemnity,1944,86,8.3,95.0,52480,5.72
124,Citizen Kane,1941,86,8.3,100.0,52480,1.59
125,M,1931,86,8.3,None Given,52480,0.03
126,Metropolis,1927,86,8.3,98.0,52480,1.24
127,The Kid,1921,86,8.3,None Given,52480,5.45
128,Chhichhore,2019,86,8.2,None Given,52480,0.9
129,Uri: The Surgical Strike,2018,86,8.2,None Given,52480,4.19
130,K.G.F: Chapter 1,2018,86,8.2,None Given,52480,Not calculated
131,Green Book,2018,86,8.2,69.0,52480,85.08
132,Talvar,2015,86,8.2,None Given,52480,0.34
133,Baahubali 2: The Conclusion,2017,86,8.2,None Given,52480,20.19
134,Klaus,2019,86,8.2,65.0,52480,Not calculated
135,Drishyam,2015,86,8.2,None Given,52480,0.74
136,Queen,2013,86,8.2,None Given,52480,1.43
137,Tangerines,2013,86,8.2,73.0,52480,0.14
138,Bhaag Milkha Bhaag,2013,86,8.2,None Given,52480,1.63
139,Gangs of Wasseypur,2012,86,8.2,89.0,52480,Not calculated
140,Udaan,2010,86,8.2,None Given,52480,0.01
141,Paan Singh Tomar,2012,86,8.2,None Given,52480,0.04
142,Zindagi Na Milegi Dobara,2011,86,8.2,None Given,52480,3.11
143,The Secret in Their Eyes,2009,86,8.2,80.0,52480,6.39
144,Warrior,2011,86,8.2,71.0,52480,13.66
145,Shutter Island,2010,86,8.2,63.0,52480,128.01
146,Up,2009,86,8.2,88.0,52480,293.0
147,7 Kogustaki Mucize,2019,86,8.2,None Given,52480,Not calculated
148,The Wolf of Wall Street,2013,86,8.2,75.0,52480,116.9
149,Chak De! India,2007,86,8.2,68.0,52480,1.11
150,There Will Be Blood,2007,86,8.2,93.0,52480,40.22
151,Pan's Labyrinth,2006,86,8.2,98.0,52480,37.63
152,Toy Story 3,2010,86,8.2,92.0,52480,415.0
153,V for Vendetta,2005,86,8.2,62.0,52480,70.51
154,Rang De Basanti,2006,86,8.2,None Given,52480,2.2
155,Black,2005,86,8.2,None Given,52480,0.73
156,Batman Begins,2005,86,8.2,70.0,52480,206.85
157,Swades,2004,86,8.2,None Given,52480,1.22
158,Downfall,2004,86,8.2,82.0,52480,5.51
159,Howl's Moving Castle,2004,86,8.2,80.0,52480,4.71
160,A Beautiful Mind,2001,86,8.2,72.0,52480,170.74
161,Hera Pheri,2000,86,8.2,None Given,52480,Not calculated
162,"Lock, Stock and Two Smoking Barrels",1998,86,8.2,66.0,52480,3.9
163,L.A. Confidential,1997,86,8.2,90.0,52480,64.62
164,The Bandit,1996,86,8.2,None Given,52480,Not calculated
165,Heat,1995,86,8.2,76.0,52480,67.44
166,Casino,1995,86,8.2,73.0,52480,42.44
167,Andaz Apna Apna,1994,86,8.2,None Given,52480,Not calculated
168,Unforgiven,1992,86,8.2,85.0,52480,101.16
169,Indiana Jones and the Last Crusade,1989,86,8.2,65.0,52480,197.17
170,Time of the Gypsies,1988,86,8.2,None Given,52480,0.28
171,My Neighbor Totoro,1988,86,8.2,86.0,52480,1.11
172,Die Hard,1988,86,8.2,72.0,52480,83.01
173,Ran,1985,86,8.2,96.0,52480,4.14
174,Raging Bull,1980,86,8.2,89.0,52480,23.38
175,Stalker,1979,86,8.2,None Given,52480,0.23
176,Autumn Sonata,1978,86,8.2,None Given,52480,Not calculated
177,Taxi Driver,1976,86,8.2,94.0,52480,28.26
178,The Message,1976,86,8.2,None Given,52480,Not calculated
179,Sholay,1975,86,8.2,None Given,52480,Not calculated
180,Monty Python and the Holy Grail,1975,86,8.2,91.0,52480,1.23
181,For a Few Dollars More,1965,86,8.2,74.0,52480,15.0
182,The Great Escape,1963,86,8.2,86.0,52480,12.1
183,To Kill a Mockingbird,1962,86,8.2,88.0,52480,Not calculated
184,Yojimbo,1961,86,8.2,None Given,52480,Not calculated
185,Judgment at Nuremberg,1961,86,8.2,60.0,52480,Not calculated
186,Some Like It Hot,1959,86,8.2,98.0,52480,25.0
187,Wild Strawberries,1957,86,8.2,88.0,52480,Not calculated
188,The Seventh Seal,1957,86,8.2,88.0,52480,Not calculated
189,Dial M for Murder,1954,86,8.2,75.0,52480,0.01
190,Tokyo Story,1953,86,8.2,None Given,52480,Not calculated
191,Rashomon,1950,86,8.2,98.0,52480,0.1
192,All About Eve,1950,86,8.2,98.0,52480,0.01
193,The Treasure of the Sierra Madre,1948,86,8.2,98.0,52480,5.01
194,To Be or Not to Be,1942,86,8.2,86.0,52480,Not calculated
195,The Gold Rush,1925,86,8.2,None Given,52480,5.45
196,Sherlock Jr.,1924,86,8.2,None Given,52480,0.98
197,Portrait of a Lady on Fire,2019,86,8.1,95.0,52480,3.76
198,Pink,2016,86,8.1,None Given,52480,1.24
199,A Silent Voice: The Movie,2016,86,8.1,78.0,52480,Not calculated
200,"Three Billboards Outside Ebbing, Missouri",2017,86,8.1,88.0,52480,54.51
201,The Invisible Guest,2016,86,8.1,None Given,52480,Not calculated
202,The Handmaiden,2016,86,8.1,84.0,52480,2.01
203,Mommy,2014,86,8.1,74.0,52480,3.49
204,Haider,2014,86,8.1,None Given,52480,0.9
205,Logan,2017,86,8.1,77.0,52480,226.28
206,Room,2015,86,8.1,86.0,52480,14.68
207,Wild Tales,2014,86,8.1,77.0,52480,3.11
208,Soul,2020,86,8.1,83.0,52480,Not calculated
209,Winter Sleep,2014,86,8.1,88.0,52480,0.17
210,PK,2014,86,8.1,None Given,52480,10.62
211,OMG: Oh My God!,2012,86,8.1,None Given,52480,0.92
212,The Grand Budapest Hotel,2014,86,8.1,88.0,52480,59.1
213,Gone Girl,2014,86,8.1,79.0,52480,167.77
214,Wolf Children,2012,86,8.1,71.0,52480,Not calculated
215,Hacksaw Ridge,2016,86,8.1,71.0,52480,67.21
216,Inside Out,2015,86,8.1,94.0,52480,356.46
217,Barfi!,2012,86,8.1,None Given,52480,2.8
218,12 Years a Slave,2013,86,8.1,96.0,52480,56.67
219,Rush,2013,86,8.1,74.0,52480,26.95
220,Ford v Ferrari,2019,86,8.1,81.0,52480,117.62
221,Spotlight,2015,86,8.1,93.0,52480,45.06
222,Song of the Sea,2014,86,8.1,85.0,52480,0.86
223,Kahaani,2012,86,8.1,None Given,52480,1.04
224,Prisoners,2013,86,8.1,70.0,52480,61.0
225,Mad Max: Fury Road,2015,86,8.1,90.0,52480,154.06
226,A Wednesday,2008,86,8.1,None Given,52480,Not calculated
227,Gran Torino,2008,86,8.1,72.0,52480,148.1
228,Harry Potter and the Deathly Hallows: Part 2,2011,86,8.1,85.0,52480,381.01
229,Departures,2008,86,8.1,68.0,52480,1.5
230,Hachi: A Dog's Tale,2009,86,8.1,None Given,52480,Not calculated
231,Mary and Max,2009,86,8.1,None Given,52480,Not calculated
232,How to Train Your Dragon,2010,86,8.1,75.0,52480,217.58
233,Into the Wild,2007,86,8.1,73.0,52480,18.35
234,No Country for Old Men,2007,86,8.1,91.0,52480,74.28
235,Lage Raho Munna Bhai,2006,86,8.1,None Given,52480,2.22
236,Nobody Knows,2004,86,8.1,88.0,52480,0.68
237,Million Dollar Baby,2004,86,8.1,86.0,52480,100.49
238,Hotel Rwanda,2004,86,8.1,79.0,52480,23.53
239,Tae Guk Gi: The Brotherhood of War,2004,86,8.1,64.0,52480,1.11
240,Before Sunset,2004,86,8.1,90.0,52480,5.82
241,Munna Bhai M.B.B.S.,2003,86,8.1,None Given,52480,Not calculated
242,Memories of Murder,2003,86,8.1,82.0,52480,0.01
243,Dil Chahta Hai,2001,86,8.1,None Given,52480,0.3
244,Kill Bill: Vol. 1,2003,86,8.1,69.0,52480,70.1
245,Finding Nemo,2003,86,8.1,90.0,52480,380.84
246,Catch Me If You Can,2002,86,8.1,75.0,52480,164.62
247,Amores Perros,2000,86,8.1,83.0,52480,5.38
248,"Monsters, Inc.",2001,86,8.1,79.0,52480,289.92
249,Neon Genesis Evangelion: The End of Evangelion,1997,86,8.1,None Given,52480,Not calculated
250,Lagaan: Once Upon a Time in India,2001,86,8.1,84.0,52480,0.07
251,The Sixth Sense,1999,86,8.1,64.0,52480,293.51
252,The Legend of 1900,1998,86,8.1,58.0,52480,0.26
253,The Truman Show,1998,86,8.1,90.0,52480,125.62
254,"Black Cat, White Cat",1998,86,8.1,73.0,52480,0.35
255,The Big Lebowski,1998,86,8.1,71.0,52480,17.5
256,In the Mood for Love,2000,86,8.1,85.0,52480,2.73
257,Trainspotting,1996,86,8.1,83.0,52480,16.5
258,Fargo,1996,86,8.1,85.0,52480,24.61
259,Underground,1995,86,8.1,None Given,52480,0.17
260,La Haine,1995,86,8.1,None Given,52480,0.31
261,Dilwale Dulhania Le Jayenge,1995,86,8.1,None Given,52480,Not calculated
262,Before Sunrise,1995,86,8.1,77.0,52480,5.54
263,Three Colors: Red,1994,86,8.1,100.0,52480,4.04
264,Chungking Express,1994,86,8.1,77.0,52480,0.6
265,Jurassic Park,1993,86,8.1,68.0,52480,402.45
266,In the Name of the Father,1993,86,8.1,84.0,52480,25.01
267,Farewell My Concubine,1993,86,8.1,None Given,52480,5.22
268,Raise the Red Lantern,1991,86,8.1,None Given,52480,2.6
269,Dead Poets Society,1989,86,8.1,79.0,52480,95.86
270,Stand by Me,1986,86,8.1,75.0,52480,52.29
271,Platoon,1986,86,8.1,92.0,52480,138.53
272,"Paris, Texas",1984,86,8.1,78.0,52480,2.18
273,Nausicaä of the Valley of the Wind,1984,86,8.1,86.0,52480,0.5
274,The Thing,1982,86,8.1,57.0,52480,13.78
275,Pink Floyd: The Wall,1982,86,8.1,47.0,52480,22.24
276,Fitzcarraldo,1982,86,8.1,None Given,52480,Not calculated
277,Fanny and Alexander,1982,86,8.1,100.0,52480,4.97
278,Blade Runner,1982,86,8.1,84.0,52480,32.87
279,The Elephant Man,1980,86,8.1,78.0,52480,Not calculated
280,Monty Python's Life of Brian,1979,86,8.1,77.0,52480,20.05
281,The Deer Hunter,1978,86,8.1,86.0,52480,48.98
282,Rocky,1976,86,8.1,70.0,52480,117.24
283,Network,1976,86,8.1,83.0,52480,Not calculated
284,Barry Lyndon,1975,86,8.1,89.0,52480,Not calculated
285,The Mirror,1975,86,8.1,80.0,52480,0.18
286,Chinatown,1974,86,8.1,92.0,52480,8.49
287,Paper Moon,1973,86,8.1,77.0,52480,30.93
288,Cries & Whispers,1972,86,8.1,None Given,52480,1.74
289,Solaris,1972,86,8.1,90.0,52480,Not calculated
290,Le Samouraï,1967,86,8.1,None Given,52480,0.04
291,Cool Hand Luke,1967,86,8.1,92.0,52480,16.22
292,Persona,1966,86,8.1,86.0,52480,Not calculated
293,Andrei Rublev,1966,86,8.1,None Given,52480,0.1
294,The Battle of Algiers,1966,86,8.1,96.0,52480,0.06
295,The Exterminating Angel,1962,86,8.1,None Given,52480,Not calculated
296,What Ever Happened to Baby Jane?,1962,86,8.1,75.0,52480,4.05
297,Sanjuro,1962,86,8.1,None Given,52480,Not calculated
298,The Man Who Shot Liberty Valance,1962,86,8.1,94.0,52480,Not calculated
299,Ivan's Childhood,1962,86,8.1,None Given,52480,Not calculated
300,The Virgin Spring,1960,86,8.1,None Given,52480,1.53
301,Inherit the Wind,1960,86,8.1,75.0,52480,Not calculated
302,The 400 Blows,1959,86,8.1,None Given,52480,Not calculated
303,Ben-Hur,1959,86,8.1,90.0,52480,74.7
304,The Hidden Fortress,1958,86,8.1,None Given,52480,Not calculated
305,Nights of Cabiria,1957,86,8.1,None Given,52480,0.75
306,Throne of Blood,1957,86,8.1,None Given,52480,Not calculated
307,The Bridge on the River Kwai,1957,86,8.1,87.0,52480,44.91
308,Rififi,1955,86,8.1,97.0,52480,0.06
309,On the Waterfront,1954,86,8.1,91.0,52480,9.6
310,The Wages of Fear,1953,86,8.1,85.0,52480,Not calculated
311,Ace in the Hole,1951,86,8.1,72.0,52480,3.97
312,White Heat,1949,86,8.1,None Given,52480,Not calculated
313,The Third Man,1949,86,8.1,97.0,52480,0.45
314,The Red Shoes,1948,86,8.1,None Given,52480,10.9
315,The Shop Around the Corner,1940,86,8.1,96.0,52480,0.2
316,Rebecca,1940,86,8.1,86.0,52480,4.36
317,Mr. Smith Goes to Washington,1939,86,8.1,73.0,52480,9.6
318,Gone with the Wind,1939,86,8.1,97.0,52480,198.68
319,La Grande Illusion,1937,86,8.1,None Given,52480,0.17
320,It Happened One Night,1934,86,8.1,87.0,52480,4.36
321,The Passion of Joan of Arc,1928,86,8.1,None Given,52480,0.02
322,The Circus,1928,86,8.1,90.0,52480,Not calculated
323,Sunrise,1927,86,8.1,None Given,52480,0.54
324,The General,1926,86,8.1,None Given,52480,1.03
325,The Cabinet of Dr. Caligari,1920,86,8.1,None Given,52480,Not calculated
326,Badhaai Ho,2018,86,8.0,None Given,52480,Not calculated
